SMILES,Name
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(F)cc2)cc1,MOL0246
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(F)cc2Cl)cc1,MOL0247
NS(=O)(=O)c1ccc(C(=O)OCc2cccc(F)c2)cc1,MOL0248
NS(=O)(=O)c1ccc(C(=O)OCc2ccccc2F)cc1,MOL0249
NS(=O)(=O)c1ccc(C(=O)OCc2c(F)cccc2Cl)cc1,MOL0250
NS(=O)(=O)c1ccc(C(=O)OCc2c(F)cccc2F)cc1,MOL0251
NS(=O)(=O)c1ccc(C(=O)OCc2cc(F)ccc2F)cc1,MOL0252
NS(=O)(=O)c1ccc(C(=O)OCc2cc(F)cc(F)c2)cc1,MOL0253
NS(=O)(=O)c1ccc(C(=O)OCC(F)(F)C(F)F)cc1,MOL0254
NS(=O)(=O)c1ccc(C(=O)OCC(F)(F)F)cc1,MOL0255
NS(=O)(=O)c1ccc(C(=O)OCc2cccc(I)c2)cc1,MOL0256
NS(=O)(=O)c1ccc(C(=O)OCC#CI)cc1,MOL0257
NCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0258
N#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0259
Nc1ccc(COC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,MOL0260
Nc1nc(COC(=O)c2ccc(S(N)(=O)=O)cc2)cs1,MOL0261
N#CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0262
N#Cc1ccc(COC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,MOL0263
N#Cc1ccccc1COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0264
N#Cc1nc(COC(=O)c2ccc(S(N)(=O)=O)cc2)oc1N,MOL0265
N#CC(=CCOC(=O)c1ccc(S(N)(=O)=O)cc1)CO,MOL0266
NC(COC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,MOL0267
NC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0268
NC(=O)CNC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0269
NC(=O)NC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0270
N#[N+][N-]CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0271
NS(=O)(=O)c1ccc(C(=O)OCCO)cc1,MOL0272
NS(=O)(=O)c1ccc(C(=O)OCc2cc(=O)c(O)co2)cc1,MOL0273
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(O)cc2)cc1,MOL0274
NS(=O)(=O)c1ccc(C(=O)OCC2=CCCC2=O)cc1,MOL0275
NS(=O)(=O)c1ccc(C(=O)OCc2cccc(O)c2)cc1,MOL0276
NS(=O)(=O)c1ccc(C(=O)OCCc2ccc(O)cc2)cc1,MOL0277
NS(=O)(=O)c1ccc(C(=O)OCc2ccccc2O)cc1,MOL0278
NS(=O)(=O)c1ccc(C(=O)OCc2ncccc2O)cc1,MOL0279
NS(=O)(=O)c1ccc(C(=O)OCC2=CC(=O)C=CC2=O)cc1,MOL0280
NS(=O)(=O)c1ccc(C(=O)OCN2C(=O)C=CC2=O)cc1,MOL0281
NS(=O)(=O)c1ccc(C(=O)OCN2C(=O)CCC2=O)cc1,MOL0282
NS(=O)(=O)c1ccc(C(=O)OCN2CCC2=O)cc1,MOL0283
NS(=O)(=O)c1ccc(C(=O)OCn2ccc(=O)[nH]c2=O)cc1,MOL0284
NS(=O)(=O)c1ccc(C(=O)OCC2OC(=O)C(O)C2O)cc1,MOL0285
NS(=O)(=O)c1ccc(C(=O)OCC2OC(O)C(O)C2O)cc1,MOL0286
NS(=O)(=O)c1ccc(C(=O)OCCCO)cc1,MOL0287
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(C=O)cc2)cc1,MOL0288
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(CO)o2)cc1,MOL0289
NS(=O)(=O)c1ccc(C(=O)OCC2=CC=C(CO)SS2)cc1,MOL0290
NS(=O)(=O)c1ccc(C(=O)OCC(=O)c2ccc(Br)s2)cc1,MOL0291
NS(=O)(=O)c1ccc(C(=O)OCC(=O)c2ccccc2)cc1,MOL0292
NS(=O)(=O)c1ccc(C(=O)OCc2ccccc2C=O)cc1,MOL0293
NS(=O)(=O)c1ccc(C(=O)OCC(O)c2ccccc2)cc1,MOL0294
NS(=O)(=O)c1ccc(C(=O)OCC(=O)c2ccc(Cl)s2)cc1,MOL0295
NS(=O)(=O)c1ccc(C(=O)OCC(=O)c2ccc[nH]2)cc1,MOL0296
NS(=O)(=O)c1ccc(C(=O)OCC(=O)c2ccco2)cc1,MOL0297
NS(=O)(=O)c1ccc(C(=O)OCC(=O)c2cccs2)cc1,MOL0298
NS(=O)(=O)c1ccc(C(=O)OCC(=O)CBr)cc1,MOL0299
NS(=O)(=O)c1ccc(C(=O)OCC(O)CBr)cc1,MOL0300
NS(=O)(=O)c1ccc(C(=O)OCC=CCO)cc1,MOL0301
NS(=O)(=O)c1ccc(C(=O)OCCCCO)cc1,MOL0302
NS(=O)(=O)c1ccc(C(=O)OCCCCCO)cc1,MOL0303
NS(=O)(=O)c1ccc(C(=O)OCCCCCCCCO)cc1,MOL0304
NS(=O)(=O)c1ccc(C(=O)OCC(=O)CCl)cc1,MOL0305
NS(=O)(=O)c1ccc(C(=O)OCC(O)CCl)cc1,MOL0306
NS(=O)(=O)c1ccc(C(=O)OCC(=O)CF)cc1,MOL0307
NS(=O)(=O)c1ccc(C(=O)OCC(O)CF)cc1,MOL0308
NS(=O)(=O)c1ccc(C(=O)OCCOC(=O)Cl)cc1,MOL0309
NS(=O)(=O)c1ccc(C(=O)OCCOCCOC(=O)Cl)cc1,MOL0310
NS(=O)(=O)c1ccc(C(=O)OCC(O)CO)cc1,MOL0311
NS(=O)(=O)c1ccc(C(=O)OCCOCCOCCO)cc1,MOL0312
NS(=O)(=O)c1ccc(C(=O)OCCOC(=O)CS)cc1,MOL0313
NS(=O)(=O)c1ccc(C(=O)OCC(=O)N2CCCC2)cc1,MOL0314
NS(=O)(=O)c1ccc(C(=O)OCC(=O)N2CCCCC2)cc1,MOL0315
NS(=O)(=O)c1ccc(C(=O)OCC(=O)N2CCOCC2)cc1,MOL0316
NS(=O)(=O)c1ccc(C(=O)OCC(=O)NC2CC2)cc1,MOL0317
NS(=O)(=O)c1ccc(C(=O)OCC(=O)NC2CCCC2)cc1,MOL0318
NS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2nccs2)cc1,MOL0319
NS(=O)(=O)c1ccc(C(=O)OCC(=O)O)cc1,MOL0320
NS(=O)(=O)c1ccc(C(=O)OCCC(=O)O)cc1,MOL0321
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(C(=O)O)o2)cc1,MOL0322
NS(=O)(=O)c1ccc(C(=O)OCCCC(=O)O)cc1,MOL0323
